C
B0#Pd,B1#Pd,B2#Pd,B0#Qd,B1#Qd,B2#Qd,B0#V,B1#V,B2#V,B0#Pg,B1#Pg,B0#Qg,B1#Qg,totPd,totQd,totPg,totQg
Time,Item,Value
,2,4.418665
,7,9.997011
,8,9.996504
,9,8.866227
,A,9.717804
,D,14.852665
,F,18.584031
23720,1,10.524
,2,4.414872
,D,14.938872
23730,2,4.411122
,D,14.935122
23740,2,4.407415
,D,14.931415
23750,2,4.40375
,D,14.92775
23760,2,4.400128
,D,14.924128
23770,2,4.396547
,D,14.920547
23780,2,4.393007
,D,14.917007
23790,2,4.389507
,D,14.913507
23800,2,4.386047
,D,14.910047
23810,2,4.382626
,D,14.906626
23820,2,4.379244
,D,14.903244
23830,2,4.375901
,D,14.899901
23840,2,4.372595
,D,14.896595
23850,2,4.369327
,D,14.893327
23860,2,4.366095
,D,14.890095
23870,2,4.3629
,D,14.8869
23880,2,4.343261
,D,14.867261
23890,2,4.51515
,D,15.03915
23900,2,4.512234
,D,15.036234
23910,2,4.509352
,D,15.033352
23920,2,4.506502
,D,15.030502
23930,2,4.503684
,D,15.027684
23940,2,4.500899
,D,15.024899
23950,2,4.498145
,D,15.022145
23960,2,4.495422
,D,15.019422
23970,2,4.49273
,D,15.01673
23980,2,4.490068
,D,15.014068
23990,2,4.487436
,D,15.011436
24000,2,4.484834
,D,15.008834
24010,2,4.48226
,7,9.996913
,8,9.996467
,9,9.05086
,A,9.865862
,D,15.00626
,F,18.916722
24020,2,4.479716
,D,15.003716
24030,2,4.4772
,D,15.0012
24040,2,4.474712
,D,14.998712
24050,2,4.472252
,D,14.996252
24060,2,4.46982
,D,14.99382
24070,2,4.467414
,D,14.991414
24080,2,4.465035
,D,14.989035
24090,2,4.462682
,D,14.986682
24100,2,4.460356
,D,14.984356
24110,2,4.458055
,D,14.982055
24120,2,4.45578
,D,14.97978
24130,2,4.453529
,D,14.977529
24140,2,4.451303
,D,14.975303
24150,2,4.427912
,D,14.951912
24160,2,4.375243
,D,14.899243
24170,2,4.374165
,D,14.898165
24180,2,4.373094
,D,14.897094
24190,2,4.37203
,D,14.89603
24200,2,4.370974
,D,14.894974
24210,2,4.368315
,D,14.892315
24220,2,4.347292
,D,14.871292
24230,2,4.526365
,D,15.050365
24240,2,4.525444
,D,15.049444
24250,2,4.52453
,D,15.04853
24260,2,4.523623
,D,15.047623
24270,2,4.522722
,D,15.046722
24280,2,4.521827
,D,15.045827
24290,2,4.520939
,D,15.044939
24300,2,4.520057
,D,15.044057
24310,2,4.519181
,7,9.996926
,8,9.996445
,9,9.070476
,A,9.881493
,D,15.043181
,F,18.951969
24320,2,4.507126
,D,15.031126
24330,2,4.495938
,D,15.019938
24340,2,4.495253
,D,15.019253
24350,2,4.494574
,D,15.018574
24360,2,4.493899
,D,15.017899
24370,2,4.493228
,D,15.017228
24380,2,4.492563
,D,15.016563
24390,2,4.491901
,D,15.015901
24400,2,4.491244
,D,15.015244
24410,2,4.544592
,D,15.068592
24420,2,4.543944
,D,15.067944
24430,2,4.543301
,D,15.067301
24440,2,4.542661
,D,15.066661
24450,2,4.542027
,D,15.066027
24460,2,4.541396
,D,15.065396
24470,2,4.54077
,D,15.06477
24480,2,4.540148
,D,15.064148
24490,2,4.53953
,D,15.06353
24500,2,4.538917
,D,15.062917
24510,2,4.538307
,D,15.062307
24520,2,4.536946
,D,15.060946
24530,2,4.535473
,D,15.059473
24540,2,4.534013
,D,15.058013
24550,2,4.532565
,D,15.056565
24560,2,4.529644
,D,15.053644
24570,2,4.508119
,D,15.032119
24580,2,4.506882
,D,15.030882
24590,2,4.568656
,D,15.092656
24600,2,4.56744
,D,15.09144
24610,2,4.566235
,7,9.996942
,8,9.996417
,9,9.096864
,A,9.90252
,D,15.090235
,F,18.999384
24620,2,4.56504
,D,15.08904
24630,2,4.563855
,D,15.087855
24640,2,4.562681
,D,15.086681
24650,2,4.561516
,D,15.085516
24660,2,4.560362
,D,15.084362
24670,2,4.559218
,D,15.083218
24680,2,4.558083
,D,15.082083
24690,2,4.556958
,D,15.080958
24700,2,4.555843
,D,15.079843
24710,2,4.554737
,D,15.078737
24720,2,4.553641
,D,15.077641
24730,2,4.552554
,D,15.076554
24740,2,4.551476
,D,15.075476
24750,2,4.550408
,D,15.074408
24760,2,4.549349
,D,15.073349
24770,2,4.548299
,D,15.072299
24780,2,4.529089
,D,15.053089
24790,2,4.521139
,D,15.045139
24800,2,4.520272
