C
G0#P,G1#P,G0#Q,G1#Q,G0#costp,G1#costp,totP,totQ,totC
Time,Item,Value
,2,0.702379
,3,3.202846
,4,135918.480769
,5,108870.310437
,6,14.68806
,7,3.905225
,8,244788.791206
44710,0,8.201094
,1,6.54485
,2,0.702441
,3,3.202807
,4,136981.213742
,5,109720.585998
,6,14.745944
,7,3.905248
,8,246701.79974
45010,0,8.200738
,1,6.544558
,2,0.702447
,3,3.202797
,4,136969.440343
,5,109710.922994
,6,14.745296
,7,3.905244
,8,246680.363338
45310,0,8.134981
,1,6.49196
,2,0.70234
,3,3.202851
,4,134801.335611
,5,107975.635705
,6,14.626941
,7,3.905191
,8,242776.971316
45610,0,8.128682
,1,6.486965
,2,0.702286
,3,3.20292
,4,134594.551737
,5,107811.581643
,6,14.615647
,7,3.905206
,8,242406.13338
45910,0,8.097907
,1,6.462344
,2,0.70224
,3,3.202942
,4,133586.565471
,5,107004.667381
,6,14.560251
,7,3.905181
,8,240591.232852
46210,0,8.044209
,1,6.419358
,2,0.702184
,4,131836.850106
,5,105603.131053
,6,14.463567
,7,3.905127
,8,237439.981159
46510,0,8.091964
,1,6.457545
,2,0.702272
,3,3.202884
,4,133392.348723
,5,106847.751949
,6,14.549509
,7,3.905157
,8,240240.100672
46810,0,8.086256
,1,6.452981
,2,0.702262
,3,3.202891
,4,133205.962275
,5,106698.601341
,6,14.539237
,7,3.905153
,8,239904.563617
47110,0,8.167221
,1,6.517727
,2,0.702414
,3,3.202794
,4,135862.17507
,5,108824.001638
,6,14.684948
,7,3.905208
,8,244686.176708
47410,0,8.154739
,1,6.507746
,2,0.70239
,3,3.202809
,4,135450.948102
,5,108494.979787
,6,14.662484
,7,3.905199
,8,243945.927889
47710,0,8.166853
,1,6.517432
,2,0.702413
,3,3.202794
,4,135850.022974
,5,108814.279101
,6,14.684285
,7,3.905207
,8,244664.302075
48010,0,8.186457
,1,6.533101
,2,0.702458
,3,3.20276
,4,136497.105758
,5,109331.751873
,6,14.719558
,7,3.905219
,8,245828.857631
48310,0,8.174506
,1,6.523533
,2,0.702446
,4,136102.437924
,5,109015.632065
,6,14.698039
,7,3.905206
,8,245118.069989
48610,0,8.112742
,1,6.474138
,2,0.702337
,3,3.202822
,4,134071.995025
,5,107390.804343
,6,14.58688
,7,3.905158
,8,241462.799368
48910,0,8.055923
,1,6.428694
,2,0.702238
,3,3.202881
,4,132217.552382
,5,105906.746641
,6,14.484617
,7,3.905118
,8,238124.299023
49210,0,7.975793
,1,6.364591
,2,0.702115
,3,3.202944
,4,129624.291543
,5,103830.86934
,6,14.340384
,7,3.905059
,8,233455.160883
49510,0,7.952721
,1,6.34614
,2,0.702074
,3,3.202972
,4,128882.367168
,5,103237.197702
,6,14.298862
,7,3.905046
,8,232119.564871
49810,0,7.950661
,1,6.344493
,2,0.70207
,3,3.202975
,4,128816.214429
,5,103184.26408
,6,14.295153
,8,232000.478509
50110,0,7.937918
,1,6.334302
,2,0.702048
,3,3.202991
,4,128407.456947
,5,102857.189877
,6,14.27222
,7,3.905039
,8,231264.646824
50410,0,7.934517
,1,6.331583
,2,0.702042
,3,3.202995
,4,128298.465708
,5,102769.978981
,6,14.266099
,7,3.905037
,8,231068.444689
50710,0,7.915842
,1,6.316649
,2,0.702009
,3,3.203018
,4,127700.847836
,5,102291.794351
,6,14.232491
,7,3.905027
,8,229992.642187
51010,0,7.927522
,1,6.325989
,2,0.70203
,3,3.203003
,4,128074.470953
,5,102590.747694
,6,14.253511
,7,3.905033
,8,230665.218647
51310,0,7.912832
,1,6.314242
,2,0.702004
,3,3.203022
,4,127604.671467
,5,102214.84074
,6,14.227074
,7,3.905026
,8,229819.512206
51610,0,7.901054
,1,6.304826
,2,0.701984
,3,3.203036
,4,127228.635147
,5,101914.00464
,6,14.20588
,7,3.90502
,8,229142.639788
51910,0,7.848277
,1,6.26262
,2,0.701893
,3,3.203103
,4,125550.402387
,5,100571.082422
,6,14.110898
,7,3.904996
,8,226121.484809
52210,0,7.843063
,1,6.258452
,2,0.701885
,3,3.203109
,4,125385.206806
,5,100438.942602
,6,14.101516
,7,3.904994
,8,225824.149408
52510,0,7.838744
,1,6.254998
,2,0.701877
,3,3.203115
,4,125248.434136
,5,100329.507051
,6,14.093742
,7,3.904992
,8,225577.941187
52810,0,7.835165
,1,6.252136
,2,0.701871
,3,3.203119
,4,125135.173084
,5,100238.877219
,6,14.087301
,7,3.90499
,8,225374.050302
